Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,case,22934,18892,4119
1,confirmed,9619,9015,2882
1,breaking,6665,6660,2335
1,official,6670,6398,2459
1,presumptive,2837,2791,1561
1,health,20231,17138,4626
1,canada,14235,13251,3671
1,toronto,6580,5964,2556
1,bc,1620,1464,768
1,report,3582,3506,1717
1,reported,2231,2112,1169
1,new,11597,10625,3299
1,suspected,1400,1348,776
1,second,1810,1795,1158
1,woman,1518,1476,966
2,going,2093,2008,1296
2,china,48416,43467,6069
2,wuhan,25615,23738,4484
2,worse,885,874,635
2,life,1676,1638,1110
2,hope,655,647,525
2,happening,577,536,431
2,communist,642,627,409
2,right,1929,1858,1243
2,crisis,1624,1521,1060
2,ccp,604,554,233
2,coronoavirus,591,583,424
2,truth,629,620,478
2,saying,914,907,690
2,long,837,814,589
3,health,20231,17138,4626
3,emergency,5903,5273,2452
3,global,4986,4884,2364
3,public,7829,7017,2962
3,world,6643,6253,2755
3,concern,2540,2499,1559
3,international,2242,2170,1312
3,declares,1342,1340,927
3,organization,1717,1704,1148
3,declared,1626,1613,1118
3,outbreak,16098,15567,4231
3,breaking,6665,6660,2335
3,order,1241,879,638
3,declaring,791,521,474
3,new,11597,10625,3299
4,cdnpoli,3351,3349,1262
4,canada,14235,13251,3671
4,canadian,8399,7283,2534
4,toronto,6580,5964,2556
4,airport,1755,1690,977
4,passenger,2024,1915,1116
4,official,6670,6398,2459
4,health,20231,17138,4626
4,contact,1534,1455,963
4,coronarovirus,693,690,482
4,plane,2080,1992,1203
4,screening,1975,1893,1047
4,arrived,727,720,537
4,flight,7084,6311,2286
4,federal,906,898,677
5,flight,7084,6311,2286
5,china,48416,43467,6069
5,canada,14235,13251,3671
5,air,1601,1469,944
5,airline,1250,1175,751
5,screening,1975,1893,1047
5,zero,983,957,648
5,justintrudeau,1082,1053,582
5,medical,4324,4064,1901
5,arrival,713,710,512
5,suspend,500,494,368
5,direct,590,580,464
5,suspends,397,394,313
5,russia,1187,1134,808
5,british,762,738,510
6,wuhan,25615,23738,4484
6,hospital,6390,5506,2310
6,coronavirusoutbreak,2902,2893,1239
6,man,2571,2490,1446
6,china,48416,43467,6069
6,patient,5583,5238,2225
6,quarantine,2819,2703,1321
6,sunnybrook,1145,1137,799
6,week,3008,2912,1653
6,50,1010,980,762
6,video,2114,2044,1088
6,day,6350,5323,2435
6,travelled,919,915,687
6,city,5058,4766,1969
6,building,766,750,575
7,death,6629,5898,2215
7,toll,2534,2509,1126
7,china,48416,43467,6069
7,number,3556,3278,1626
7,rise,1287,1271,751
7,new,11597,10625,3299
7,dead,1523,1384,898
7,total,1422,1303,735
7,case,22934,18892,4119
7,died,1270,1212,836
7,hit,1017,950,685
7,56,771,766,571
7,infection,2968,2839,1524
7,infected,4338,4024,1764
7,virus,13207,12259,3728
8,people,15745,14098,4229
8,million,4170,3786,1948
8,month,1388,1333,907
8,killed,1133,1062,795
8,trying,980,967,725
8,kill,1024,838,628
8,white,701,675,548
8,gate,1040,1003,553
8,left,1144,1119,799
8,thousand,798,783,568
8,making,759,752,630
8,excuse,362,362,335
8,cnn,495,473,346
8,foundation,639,476,355
8,infected,4338,4024,1764
9,citizen,2969,2855,1384
9,canadian,8399,7283,2534
9,help,2971,2786,1584
9,trudeau,3702,3343,1139
9,china,48416,43467,6069
9,american,2547,2421,1422
9,minister,2968,2522,1372
9,want,1982,1921,1329
9,foreign,1329,1272,874
9,job,1019,926,733
9,evacuate,805,799,523
9,quarantined,1528,1493,940
9,plane,2080,1992,1203
9,evacuating,662,661,530
9,government,5813,5456,2330
10,racist,2505,2336,1341
10,year,3696,3491,2022
10,make,2158,2001,1365
10,racism,2028,1950,1233
10,concerned,990,981,733
10,chinese,11010,10243,3414
10,sure,883,877,683
10,canada,14235,13251,3671
10,asian,1080,1045,811
10,seriously,651,646,513
10,related,610,608,513
10,people,15745,14098,4229
10,comment,629,622,549
10,act,626,581,477
10,head,570,569,478
11,outbreak,16098,15567,4231
11,market,2086,1888,1057
11,amid,1804,1794,977
11,deadly,2917,2870,1570
11,animal,1323,1162,790
11,started,903,835,657
11,china,48416,43467,6069
11,stock,739,663,426
11,talk,630,621,547
11,bat,1283,1056,749
11,viral,759,713,553
11,wildlife,506,460,334
11,chinese,11010,10243,3414
11,trade,1208,1117,794
11,food,794,754,552
12,trump,4610,4032,1813
12,deal,1680,1586,1122
12,china,48416,43467,6069
12,realdonaldtrump,737,734,484
12,president,1557,1528,1019
12,administration,695,653,508
12,day,6350,5323,2435
12,iran,968,835,685
12,personal,826,779,587
12,donald,447,445,398
12,got,1123,1082,822
12,force,525,505,373
12,tweet,568,542,448
12,trade,1208,1117,794
12,taking,1512,1500,1055
13,spread,8523,8106,2966
13,virus,13207,12259,3728
13,prevent,1537,1494,1017
13,measure,1614,1520,992
13,contain,1397,1394,952
13,country,5699,5520,2484
13,effort,1195,1174,798
13,warns,683,682,504
13,stop,2433,2337,1382
