Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,4926,4.64612,1830,21.391
2,4284,4.04059,1300,15.19579
3,4644,4.38014,1354,15.827
4,2904,2.739,1207,14.10871
5,3736,3.52373,1394,16.29456
6,3406,3.21248,1528,17.8609
7,2223,2.0967,1183,13.82817
8,3084,2.90878,1643,19.20514
9,2865,2.70222,1585,18.52718
10,1541,1.45344,889,10.39158
11,2953,2.78522,1416,16.55172
12,3291,3.10401,972,11.36178
13,2157,2.03445,1177,13.75804
14,2963,2.79465,1536,17.95441
15,1772,1.67132,1226,14.3308
16,2469,2.32872,1444,16.87902
17,2611,2.46265,1470,17.18293
18,2490,2.34852,1355,15.83869
19,2382,2.24666,1157,13.52425
20,2228,2.10141,1145,13.38399
21,2243,2.11556,1381,16.14261
22,2988,2.81823,1323,15.46464
23,2709,2.55508,1336,15.6166
24,2439,2.30042,1147,13.40736
25,2030,1.91466,1095,12.79953
26,2408,2.27118,1282,14.98539
27,2033,1.91749,1104,12.90473
28,1628,1.5355,1023,11.95792
29,2514,2.37116,1359,15.88545
30,1839,1.73451,1146,13.39568
31,2137,2.01558,1118,13.06838
32,2221,2.09481,1361,15.90883
33,2631,2.48151,1606,18.77265
34,1867,1.76092,1084,12.67095
35,2744,2.58809,949,11.09293
36,2673,2.52113,830,9.70193
37,2206,2.08066,1115,13.03331
38,2649,2.49849,1358,15.87376
39,2624,2.47491,1265,14.78667
40,2512,2.36927,1441,16.84395
