Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
trump,10284,8617,2926
pandemic,10274,9992,4687
people,10030,8922,4451
u,8341,7410,3881
china,7965,6515,3006
case,6983,5153,2930
need,5900,5372,3330
new,5800,4997,3003
health,5586,5115,3202
virus,5450,4904,2911
home,5358,4597,3106
time,5348,5043,3278
get,4976,4520,2900
say,4973,4633,2785
one,4932,4536,2916
day,4915,4365,2888
canada,4857,4381,2663
de,4511,2176,787
help,4117,3772,2642
death,3974,3242,2108
government,3863,3661,2444
stay,3828,3273,2435
canadian,3517,3217,2060
week,3430,3190,2246
crisis,3419,3282,2258
country,3395,3188,2169
american,3390,3105,1812
would,3260,3010,2113
social,3256,3106,2343
know,3187,2965,2204
today,3111,2969,2160
worker,3094,2811,2027
president,3033,2823,1704
hospital,3012,2695,1885
world,2959,2801,2014
test,2951,2493,1807
right,2869,2682,2020
care,2852,2644,1959
life,2842,2688,1958
distancing,2837,2703,2095
state,2825,2567,1685
many,2805,2632,1970
please,2798,2521,1960
go,2714,2568,2005
cdnpoli,2714,2709,1545
make,2712,2581,1950
spread,2710,2628,1981
take,2665,2560,1976
trudeau,2661,2390,1434
public,2644,2505,1899
going,2643,2480,1856
want,2617,2402,1821
mask,2578,2082,1573
could,2571,2427,1782
work,2554,2444,1890
news,2553,2382,1772
chinese,2550,2230,1392
said,2547,2367,1720
response,2524,2418,1773
first,2509,2411,1788
medical,2494,2306,1745
doctor,2459,2280,1688
even,2289,2209,1676
still,2283,2185,1716
via,2281,2273,1548
think,2252,2116,1652
patient,2232,1981,1490
2,2175,1983,1565
good,2173,2083,1664
keep,2169,2081,1645
million,2129,1954,1474
outbreak,2118,2088,1560
see,2103,2033,1611
stop,2094,2009,1602
number,2083,1893,1441
every,2074,1903,1495
thing,2073,2001,1595
positive,2050,1972,1481
back,2038,1977,1543
realdonaldtrump,2014,1990,1225
family,1992,1853,1494
way,1982,1920,1572
month,1952,1839,1472
support,1945,1813,1453
medium,1907,1704,1280
call,1873,1741,1411
must,1862,1766,1415
emergency,1861,1761,1419
1,1853,1712,1368
business,1836,1659,1317
year,1776,1615,1338
tested,1728,1589,1217
dr,1727,1630,1285
testing,1715,1531,1188
everyone,1693,1637,1370
two,1689,1634,1342
le,1684,1371,904
breaking,1645,1637,1269
last,1644,1606,1335
supply,1636,1453,1173
job,1623,1473,1219
also,1614,1585,1294
died,1605,1469,1152
march,1598,1289,1079
lockdown,1591,1506,1166
america,1583,1478,1089
well,1571,1508,1289
bill,1565,1432,1118
global,1554,1508,1236
official,1502,1453,1152
working,1498,1442,1206
much,1494,1415,1200
fight,1488,1441,1170
may,1487,1397,1173
community,1478,1410,1133
thank,1463,1389,1177
put,1448,1395,1172
italy,1443,1292,1025
report,1436,1388,1123
come,1426,1392,1183
ontario,1425,1342,992
due,1425,1398,1195
minister,1424,1334,1082
never,1422,1353,1135
risk,1409,1307,1106
friend,1409,1291,1109
update,1406,1354,1067
border,1396,1222,968
look,1378,1343,1145
city,1375,1266,1026
ventilator,1371,1215,960
read,1365,1328,1139
house,1361,1291,1047
safe,1348,1300,1106
great,1345,1303,1113
sick,1344,1221,1002
really,1344,1274,1103
use,1343,1275,1094
show,1334,1278,1081
face,1328,1287,1098
3,1311,1228,1050
give,1303,1278,1091
symptom,1290,1196,1028
order,1290,1228,1020
measure,1278,1206,1031
together,1276,1239,1052
enough,1275,1124,956
part,1254,1210,1028
got,1245,1202,1025
hand,1230,1107,946
confirmed,1229,1118,899
die,1226,1153,922
service,1225,1137,972
healthcare,1220,1177,985
tell,1219,1194,1029
total,1214,1067,849
live,1213,1180,987
protect,1209,1169,998
around,1194,1178,1021
economy,1191,1124,944
power,1180,1037,859
coming,1177,1152,1001
question,1164,1097,930
nurse,1158,1052,875
york,1157,1074,857
leader,1155,1091,930
pay,1147,1053,906
anyone,1145,1105,940
watch,1140,1109,951
next,1140,1105,940
another,1123,1094,957
ago,1119,1048,887
important,1105,1073,929
others,1104,1066,924
wuhan,1102,1012,783
told,1084,1023,874
without,1076,1038,893
federal,1072,1042,887
plan,1065,995,862
fact,1065,1007,876
national,1061,1021,869
made,1059,1021,886
pm,1053,993,821
already,1053,1033,888
getting,1052,1039,911
act,1051,961,833
across,1045,1031,878
money,1039,987,850
hour,1039,1003,874
place,1030,992,876
bc,1030,955,681
system,1029,975,866
video,1028,1000,905
justintrudeau,1025,1014,789
mean,1021,994,874
end,1018,981,846
briefing,1008,958,762
since,1007,983,854
company,1006,940,829
ableg,1005,1005,481
line,1003,960,838
using,998,963,853
story,996,948,820
open,995,961,848
information,994,959,828
close,992,953,839
staff,991,947,831
flu,990,794,687
best,990,959,864
man,987,937,833
lie,986,886,724
expert,979,951,810
done,979,942,825
saying,978,934,812
called,976,930,794
trying,968,943,820
et,966,761,432
liberal,963,898,650
province,960,924,793
governor,960,905,708
ever,960,927,821
un,959,856,557
flight,957,783,619
better,957,935,830
party,955,899,780
away,951,935,829
stock,949,850,683
continue,945,915,811
travel,944,878,757
hope,943,896,792
amid,940,933,756
united,938,896,739
sure,937,917,836
nothing,933,892,783
real,930,913,808
socialdistancing,929,918,760
toronto,925,841,652
taking,924,909,810
rate,907,797,699
4,907,859,768
yet,906,891,804
action,903,867,756
equipment,897,848,758
far,896,864,767
2020,893,863,642
lot,887,843,754
economic,885,842,728
save,878,840,744
tax,875,756,635
quarantine,871,839,755
daily,868,836,738
alberta,866,798,577
someone,863,840,769
person,863,802,721
thanks,858,838,744
nation,857,841,710
infected,856,809,707
14,854,817,726
food,852,757,679
cant,848,813,735
asked,843,811,728
result,840,789,711
big,839,810,734
member,838,798,720
making,838,821,733
essential,834,787,707
shut,832,786,681
press,830,804,684
democrat,830,753,543
including,828,820,731
5,828,792,703
full,827,808,740
start,821,799,727
calling,816,795,709
drug,813,731,634
share,812,782,701
disease,811,764,688
might,810,776,685
white,807,774,638
team,807,753,685
thats,798,761,669
relief,795,761,643
free,790,751,671
long,787,757,689
hard,785,767,705
lost,781,740,663
local,771,711,639
bad,767,716,621
donald,759,725,615
point,758,742,653
early,757,736,644
child,750,685,616
seriously,749,734,662
instead,747,732,663
senator,746,683,555
10,744,708,635
infection,743,696,633
possible,742,722,659
remember,741,720,658
least,739,730,665
flattenthecurve,739,739,609
change,738,709,654
data,737,643,560
aid,737,704,622
word,734,693,641
sent,733,700,630
per,733,633,580
effort,731,716,636
leadership,730,710,637
thought,729,720,657
find,729,712,651
reported,728,690,603
political,725,701,613
thousand,721,696,630
love,719,663,614
check,717,704,640
fighting,716,707,560
woman,715,646,579
message,715,698,645
believe,715,675,609
war,714,649,584
store,713,667,610
follow,711,692,624
administration,710,701,571
stayhome,707,702,606
racist,706,636,552
govt,702,655,565
something,699,678,635
dying,696,670,578
old,694,641,586
control,694,652,572
tweet,691,665,601
w,690,610,537
clear,690,677,630
uk,687,620,489
threat,685,665,590
kid,685,626,574
12,685,660,600
cdc,684,636,534
he,683,599,539
closed,683,654,596
warning,681,671,599
feel,681,657,594
cnn,678,642,527
hit,673,663,600
deal,673,642,585
anything,670,651,589
human,669,622,562
100,669,640,586
fauci,668,604,499
latest,667,661,574
january,667,613,534
everything,667,652,607
billion,664,606,548
front,662,654,612
republican,661,617,501
pour,659,554,320
needed,658,653,595
20,656,620,534
cut,655,616,528
problem,654,621,548
yesterday,653,631,566
youre,652,590,533
school,652,576,519
prime,650,634,570
increase,650,612,554
critical,650,621,562
always,650,623,552
treatment,646,615,558
three,645,618,568
employee,643,609,549
isolation,640,609,570
guy,639,615,549
15,639,604,537
package,635,615,553
protective,633,622,567
icu,633,559,489
hoax,633,588,491
here,633,629,585
ppe,632,597,521
force,631,611,547
6,630,613,566
yes,629,581,548
south,626,559,487
ask,624,600,551
vote,622,572,498
actually,621,601,552
gov,620,574,505
dead,620,592,523
30,619,597,528
soon,617,609,552
du,617,519,275
listen,616,587,537
try,614,598,546
nyc,613,562,489
group,613,587,534
contact,612,599,557
conservative,612,565,476
took,611,542,487
rt,611,586,509
senate,609,576,465
seen,609,599,557
citizen,608,586,538
provide,607,597,537
left,607,596,533
announced,607,602,540
onpoli,606,603,414
situation,603,594,536
justin,601,584,506
step,600,583,540
student,598,527,479
morning,597,583,533
serious,596,575,527
premier,596,584,513
officer,595,571,507
else,595,589,548
korea,592,504,450
wrong,588,551,509
market,587,556,491
reason,586,572,528
issue,585,567,533
n95,584,542,486
knew,583,534,466
gop,583,564,440
almost,583,577,520
small,581,553,505
failure,581,540,477
worst,579,561,512
feb,579,358,319
resident,578,554,494
blame,578,514,449
idea,577,566,520
leave,576,551,498
used,573,564,504
usa,572,518,433
set,570,541,500
grocery,570,550,506
asking,570,553,510
fox,569,484,384
despite,569,555,517
lying,568,546,481
ottawa,567,506,394
online,564,546,490
likely,564,553,502
decision,564,541,504
impact,563,545,505
conference,563,544,476
god,561,540,481
law,560,541,493
middle,559,557,488
went,558,524,497
understand,557,547,504
advice,556,543,508
history,555,551,503
worse,552,539,495
top,552,542,501
vulnerable,549,528,454
true,549,524,486
50,549,532,498
answer,544,519,480
office,543,514,465
thread,542,532,478
iran,541,469,307
fear,541,522,484
benefit,541,484,442
isnt,539,524,476
learn,538,526,480
claim,538,518,465
twitter,537,510,474
matter,537,511,479
able,536,528,492
telling,535,531,481
kill,534,516,464
concern,534,518,465
population,532,503,457
air,532,501,464
taken,531,525,494
resource,530,507,460
helping,530,510,475
curve,530,500,465
24,530,496,434
safety,529,517,474
talk,528,505,478
stayathome,528,521,466
looking,528,522,486
available,526,513,479
doesnt,524,505,462
communist,523,501,387
send,521,507,472
police,521,476,431
let,520,493,456
dangerous,519,511,458
putting,516,481,461
ill,516,502,473
fucking,516,487,447
didnt,515,482,446
maybe,514,493,468
epidemic,513,500,445
truth,511,493,450
outside,511,492,462
13,510,494,451
pelosi,509,465,348
kind,509,497,460
theyre,508,478,436
past,508,504,470
