Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,pandemic,14174,13798,13.32574,5633,44.03189
1,global,1828,1628,1.57228,1271,9.93512
1,crisis,2485,2397,2.31496,1694,13.24162
1,change,949,912,0.88078,797,6.22997
1,risk,1291,1218,1.17631,990,7.73861
1,economic,1020,986,0.95225,820,6.40976
1,continue,1189,1156,1.11643,974,7.61354
1,making,988,962,0.92907,844,6.59736
1,fight,1274,1244,1.20142,1034,8.08255
1,hard,874,866,0.83636,762,5.95638
1,impact,680,671,0.64803,587,4.58845
1,issue,773,740,0.71467,666,5.20597
1,policy,800,770,0.74365,682,5.33104
1,human,849,801,0.77358,692,5.40921
1,vote,758,636,0.61423,544,4.25233
2,case,7476,5716,5.52036,3008,23.51286
2,new,7355,6419,6.1993,3349,26.17838
2,death,8827,6959,6.72081,3351,26.19401
2,ontario,2049,1920,1.85428,1263,9.87259
2,number,2812,2561,2.47334,1815,14.18745
2,total,1387,1196,1.15506,899,7.02728
2,reported,1246,1190,1.14927,955,7.46502
2,province,1157,1109,1.07104,857,6.69898
2,confirmed,1033,968,0.93487,781,6.1049
2,report,2399,2313,2.23383,1669,13.0462
2,april,932,830,0.80159,690,5.39357
2,infection,1140,1103,1.06525,873,6.82404
2,day,5193,4562,4.40586,2805,21.92605
2,daily,1228,1138,1.09905,911,7.12108
2,population,777,736,0.71081,639,4.99492
3,trump,11762,10025,9.68187,2807,21.94169
3,president,3570,3237,3.12621,1757,13.73407
3,response,3085,2999,2.89635,1952,15.25834
3,administration,1243,1189,1.1483,806,6.30032
3,obama,977,856,0.8267,644,5.034
3,donald,876,865,0.83539,638,4.9871
3,said,2619,2438,2.35455,1668,13.03838
3,truth,876,829,0.80063,693,5.41702
3,republican,837,773,0.74654,555,4.33831
3,lie,903,834,0.80545,694,5.42484
3,cnn,566,550,0.53118,453,3.541
3,failure,714,655,0.63258,564,4.40866
3,realdonaldtrump,2484,2431,2.34779,1271,9.93512
3,disaster,526,510,0.49254,451,3.52537
3,failed,660,624,0.60264,542,4.23669
4,home,5355,4812,4.6473,2965,23.17674
4,stay,2936,2637,2.54674,1964,15.35215
4,care,3505,3114,3.00742,2097,16.39178
4,safe,1532,1453,1.40327,1163,9.09091
4,family,1931,1767,1.70652,1373,10.73243
4,sick,948,890,0.85954,772,6.03455
4,away,1280,1244,1.20142,1022,7.98874
4,friend,887,864,0.83443,780,6.09708
4,senior,881,782,0.75523,678,5.29977
4,resident,872,819,0.79097,710,5.54991
4,nursing,806,739,0.71371,610,4.76823
4,patient,2167,2000,1.93155,1494,11.67826
4,kid,937,848,0.81898,742,5.80005
4,life,2963,2813,2.71672,1965,15.35996
4,longterm,705,687,0.66349,545,4.26014
5,death,8827,6959,6.72081,3351,26.19401
5,toll,1015,980,0.94646,769,6.0111
5,flu,942,826,0.79773,677,5.29196
5,number,2812,2561,2.47334,1815,14.18745
5,rate,1243,1149,1.10967,936,7.3165
5,war,796,704,0.6799,613,4.79168
5,worse,722,706,0.68184,634,4.95584
5,florida,560,517,0.4993,410,3.20488
5,cause,654,622,0.60071,573,4.47901
5,data,1396,1258,1.21494,1008,7.87931
5,uk,802,738,0.71274,522,4.08036
5,reality,449,441,0.42591,410,3.20488
5,iran,530,467,0.45102,150,1.17252
5,killed,759,713,0.6886,620,4.8464
5,conspiracy,538,517,0.4993,461,3.60353
6,china,5284,4249,4.10357,2237,17.48613
6,virus,5165,4764,4.60094,2772,21.6681
6,chinese,1828,1619,1.56359,1140,8.91112
6,wuhan,1575,1473,1.42258,1028,8.03564
6,lab,1193,1087,1.0498,848,6.62863
6,evidence,897,849,0.81994,720,5.62808
6,intelligence,718,652,0.62968,565,4.41648
6,came,683,650,0.62775,572,4.4712
6,communist,621,597,0.57657,463,3.61917
6,ccp,504,468,0.45198,362,2.82967
6,party,952,869,0.83926,749,5.85476
6,knew,535,513,0.49544,466,3.64262
6,transmission,439,422,0.40756,378,2.95474
6,origin,376,367,0.35444,318,2.48573
6,say,6100,5777,5.57927,3189,24.92769
7,people,9749,8631,8.33559,4226,33.03369
7,think,2646,2538,2.45113,1858,14.52357
7,die,1284,1206,1.16472,914,7.14453
7,dying,750,683,0.65962,590,4.6119
7,make,2927,2846,2.74859,2096,16.38396
7,normal,641,580,0.56015,539,4.21324
7,kill,572,551,0.53214,508,3.97092
7,fear,713,685,0.66155,590,4.6119
7,maybe,543,522,0.50413,479,3.74424
7,believe,1033,984,0.95032,825,6.44884
7,stop,1699,1614,1.55876,1287,10.06019
7,actually,722,710,0.6857,642,5.01837
7,want,3239,3019,2.91567,2109,16.48558
7,black,620,571,0.55146,494,3.86149
7,stupid,421,377,0.3641,353,2.75932
8,test,2986,2492,2.40671,1695,13.24943
8,positive,2461,2308,2.229,1582,12.36614
8,tested,2055,1799,1.73743,1275,9.96639
8,testing,2541,2257,2.17975,1523,11.90495
8,update,1372,1327,1.28158,935,7.30868
8,live,1339,1291,1.24681,1014,7.92621
8,member,1060,979,0.94549,814,6.36285
8,service,1181,1107,1.06911,921,7.19925
8,contact,733,659,0.63644,593,4.63535
8,staff,1046,988,0.95418,818,6.39412
8,result,765,732,0.70695,648,5.06527
8,penny,897,806,0.77841,595,4.65098
8,personal,680,608,0.58719,535,4.18197
8,toronto,819,741,0.71564,565,4.41648
8,miller,519,348,0.33609,272,2.12616
9,social,2912,2818,2.72155,2064,16.13382
9,distancing,2472,2408,2.32558,1833,14.32815
9,order,1948,1816,1.75384,1331,10.40413
9,rule,987,926,0.89431,792,6.19089
9,stayathome,730,725,0.70019,596,4.6588
9,hand,905,816,0.78807,720,5.62808
9,police,736,675,0.6519,581,4.54155
9,park,719,610,0.58912,542,4.23669
9,place,1190,1157,1.1174,985,7.69952
9,law,714,665,0.64224,582,4.54936
9,follow,679,666,0.6432,602,4.7057
9,measure,1032,993,0.95901,850,6.64426
9,watch,1523,1485,1.43417,1131,8.84077
9,restaurant,479,437,0.42204,404,3.15798
9,city,1671,1514,1.46218,1118,8.73915
10,house,2758,2534,2.44727,1499,11.71735
10,white,2339,2187,2.11215,1277,9.98202
10,dr,2617,2350,2.26957,1667,13.03056
10,pandemic,14174,13798,13.32574,5633,44.03189
10,fauci,1364,1246,1.20335,886,6.92566
10,cdc,1651,1477,1.42645,1026,8.02001
10,force,1135,1085,1.04786,868,6.78496
10,disease,1009,950,0.91748,785,6.13617
10,task,730,700,0.67604,574,4.48683
10,doctor,1758,1668,1.61091,1314,10.27124
10,wow,399,386,0.37279,371,2.90002
10,quarantine,677,633,0.61133,550,4.29923
10,virus,5165,4764,4.60094,2772,21.6681
10,report,2399,2313,2.23383,1669,13.0462
10,director,393,383,0.36989,351,2.74369
11,canada,5132,4666,4.5063,2716,21.23036
11,cdnpoli,3274,3265,3.15325,1691,13.21817
11,canadian,3437,3116,3.00935,1988,15.53975
11,trudeau,2896,2583,2.49459,1442,11.27179
11,minister,1335,1287,1.24295,961,7.51192
11,justintrudeau,989,972,0.93873,729,5.69843
11,liberal,937,882,0.85181,676,5.28414
11,justin,768,723,0.69825,575,4.49465
11,post,701,690,0.66638,617,4.82295
11,border,748,696,0.67218,603,4.71352
11,latest,845,839,0.81028,686,5.36231
11,pm,913,843,0.81415,682,5.33104
11,conservative,674,631,0.6094,519,4.05691
11,medium,1601,1508,1.45639,1159,9.05964
11,prime,607,590,0.56981,497,3.88494
12,vaccine,1817,1560,1.50661,1170,9.14563
12,state,4270,3821,3.69022,2058,16.08692
12,business,2264,2052,1.98177,1533,11.98312
12,lockdown,4256,4001,3.86406,2307,18.0333
12,plan,1800,1671,1.61381,1290,10.08364
12,reopening,1348,1309,1.2642,1005,7.85586
12,reopen,1282,1256,1.21301,979,7.65262
12,school,1031,914,0.88272,760,5.94075
12,restriction,945,912,0.88078,781,6.1049
12,governor,1091,1038,1.00247,773,6.04237
12,open,1592,1507,1.45542,1239,9.68498
12,study,743,699,0.67508,594,4.64316
12,say,6100,5777,5.57927,3189,24.92769
12,treatment,725,694,0.67025,589,4.60408
12,drug,761,692,0.66831,599,4.68225
13,lockdown,4256,4001,3.86406,2307,18.0333
13,news,2778,2623,2.53322,1774,13.86696
13,end,1539,1507,1.45542,1214,9.48956
13,got,1158,1127,1.08843,952,7.44157
13,hope,811,799,0.77165,719,5.62026
13,love,716,682,0.65866,624,4.87767
13,tweet,634,576,0.55629,527,4.11944
13,fake,599,541,0.52248,456,3.56445
13,wait,463,453,0.4375,401,3.13453
13,twitter,544,517,0.4993,459,3.5879
13,man,892,849,0.81994,728,5.69061
13,night,442,424,0.40949,390,3.04854
13,turn,412,407,0.39307,389,3.04073
13,mr,337,309,0.29842,281,2.19651
13,germany,354,337,0.32547,303,2.36848
14,le,2308,1822,1.75964,1090,8.52028
14,et,1347,1058,1.02179,553,4.32268
14,yes,732,680,0.65673,612,4.78387
14,premier,965,907,0.87596,703,5.49519
14,pour,879,751,0.7253,344,2.68897
14,ford,783,700,0.67604,503,3.93184
14,du,786,641,0.61906,305,2.38412
14,au,682,584,0.56401,288,2.25123
14,say,6100,5777,5.57927,3189,24.92769
14,plus,581,529,0.51089,392,3.06418
14,cbc,616,589,0.56884,461,3.60353
14,une,516,464,0.44812,261,2.04018
14,est,533,477,0.46067,293,2.29032
14,pa,536,437,0.42204,227,1.77441
14,sur,503,422,0.40756,228,1.78222
15,time,5338,4974,4.80375,3174,24.81044
15,help,2959,2759,2.66457,1971,15.40686
15,need,4848,4476,4.3228,2851,22.28562
15,read,1499,1462,1.41196,1199,9.37231
15,thank,1458,1360,1.31345,1098,8.58282
15,support,2103,1974,1.90644,1507,11.77988
15,great,1631,1574,1.52013,1264,9.8804
15,question,1605,1549,1.49598,1276,9.9742
15,important,1077,1064,1.02758,905,7.07418
15,child,1581,1375,1.32794,1105,8.63754
15,community,1672,1595,1.54041,1237,9.66935
15,story,1523,1462,1.41196,1157,9.04401
15,thanks,679,667,0.64417,608,4.7526
15,share,670,637,0.6152,573,4.47901
15,join,691,674,0.65093,582,4.54936
16,government,4186,3947,3.81191,2458,19.21363
16,job,1747,1612,1.55683,1284,10.03674
16,worker,3957,3494,3.37441,2199,17.18909
16,money,1218,1105,1.06718,928,7.25397
16,pay,1109,1060,1.02372,909,7.10545
16,federal,1165,1112,1.07394,870,6.80059
16,ppe,991,933,0.90107,765,5.97983
16,healthcare,1025,959,0.92618,798,6.23779
16,line,994,953,0.92038,822,6.42539
16,company,1048,987,0.95322,823,6.43321
16,tax,869,750,0.72433,650,5.0809
16,work,3679,3461,3.34254,2373,18.54921
16,pandemic,14174,13798,13.32574,5633,44.03189
16,billion,707,669,0.6461,584,4.565
16,essential,795,749,0.72336,653,5.10435
17,health,5525,5084,4.90999,3043,23.78645
17,day,5193,4562,4.40586,2805,21.92605
17,public,2724,2555,2.46755,1833,14.32815
17,good,2115,2019,1.9499,1605,12.54592
17,week,3456,3090,2.98424,2163,16.90768
17,ago,1335,991,0.95708,833,6.51137
17,thread,627,616,0.59492,525,4.10381
17,nurse,955,821,0.7929,693,5.41702
17,thought,685,681,0.65769,615,4.80732
17,word,688,664,0.64127,599,4.68225
17,year,2507,2344,2.26377,1807,14.12491
17,single,774,742,0.7166,671,5.24506
17,fighting,689,675,0.6519,446,3.48628
17,mother,621,554,0.53504,511,3.99437
17,idea,611,582,0.56208,526,4.11162
18,country,3906,3664,3.53859,2283,17.8457
18,know,3326,3121,3.01418,2165,16.92332
18,world,3507,3257,3.14552,2230,17.43141
18,right,3146,2942,2.8413,2081,16.26671
18,going,2879,2694,2.60179,1948,15.22708
18,way,2277,2183,2.10828,1685,13.17127
18,thing,1918,1842,1.77895,1483,11.59228
18,come,1797,1746,1.68624,1410,11.02165
18,look,1698,1656,1.59932,1356,10.59955
18,really,1396,1345,1.29896,1123,8.77824
18,better,1176,1134,1.09519,999,7.80896
18,want,3239,3019,2.91567,2109,16.48558
18,need,4848,4476,4.3228,2851,22.28562
18,thats,984,961,0.92811,816,6.37849
18,wrong,802,769,0.74268,687,5.37012
19,american,4215,3860,3.72788,1946,15.21144
19,mask,3231,2748,2.65394,1814,14.17963
