Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,-0.01981,0.46753,0.08317,0.10723,0.08988,0.11457,0.82694,0.14391
2,0.00448,0.34517,0.0473,0.07309,0.04482,0.08051,0.90788,0.10484
3,0.01806,0.42811,0.0727,0.10234,0.06751,0.10038,0.85979,0.13233
4,-0.1394,0.43318,0.05446,0.08685,0.10157,0.11594,0.84397,0.13452
5,-0.09436,0.39377,0.05114,0.0982,0.08092,0.11675,0.86793,0.14752
6,0.00978,0.40604,0.07343,0.10756,0.06635,0.09793,0.86021,0.13203
7,0.05204,0.43521,0.08067,0.09634,0.06558,0.09111,0.85375,0.12044
8,0.03039,0.41431,0.07556,0.09507,0.06787,0.09899,0.85656,0.12367
9,0.01577,0.46351,0.08521,0.1026,0.08233,0.10648,0.83245,0.12992
10,0.0215,0.49075,0.09455,0.12403,0.08156,0.10829,0.82389,0.14591
