Tweet ID,Weight,Total Times Tweeted,Tweet Text
1330167087986249736,0.0251,2,"@DrFullertonMPP @1310NEWS 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1330675825461633027,0.02507,2,"@OntHumanRights @ODSPAction 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1330167919188316161,0.02507,2,"@ctvottawa @AnnieClaireBO 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1329855245715984385,0.02454,3,"@picardonhealth 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1329892047386382336,0.02454,1,"@StevenDelDuca 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTnU9Eh #accessibility #AODAfail #CRPD #onpoli"
1329892357660094472,0.02454,1,"@l_stone 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1329892682412421120,0.02454,1,"@CBCQueensPark 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTnU9Eh #accessibility #AODAfail #CRPD #onpoli"
1329855187377397760,0.02453,4,"@globalnewsto 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1329856619220512771,0.02453,1,"@AndreaHorwath @FaisalHassanNDP 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1330674661294809090,0.02453,2,"@AndreaHorwath @ChrisGloverMPP 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1330291235408535553,0.02453,2,"@Sflecce 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1330168162025955342,0.02452,1,"@robertbenzie 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1330673848476454913,0.02452,1,"@maritstiles 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1329937107134115840,0.02452,1,"@CheriDiNovo 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
1329856585859031044,0.02451,1,"@MikeSchreiner 2 new captioned videos reveal danger of disability discrimination if #COVID19 surge forces critical care rationing, &amp; @fordnation Ford wrongful secrecy on plans If triage Is needed https://t.co/EFAYTobL2R #accessibility #AODAfail #CRPD #onpoli"
