Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
vaccine,34953,29148,12.70757,6199,49.68342
pandemic,30603,29648,12.92556,6568,52.64086
people,27853,24458,10.66289,5669,45.4356
case,27825,21348,9.30703,4684,37.54108
ontario,24912,23064,10.05515,4473,35.84996
new,21671,18582,8.10114,4767,38.2063
lockdown,21302,18781,8.1879,4700,37.66931
health,17490,16029,6.98812,4393,35.20878
get,16165,14659,6.39084,4768,38.21431
canada,14837,13413,5.84763,3930,31.49796
day,14333,12495,5.44741,4149,33.25319
one,13975,12967,5.65319,4468,35.80989
say,12966,12051,5.25384,3843,30.80067
school,12517,9709,4.23281,2914,23.35497
government,12451,11747,5.12131,3703,29.67861
today,12208,11578,5.04763,3979,31.89068
variant,12112,10586,4.61515,3278,26.27234
need,11894,10872,4.73984,3939,31.57009
icu,11604,9834,4.2873,2934,23.51527
de,11514,5201,2.26747,888,7.1171
time,11245,10516,4.58463,4051,32.46774
onpoli,11044,11033,4.81003,2404,19.26745
death,10701,9184,4.00392,3070,24.60527
year,10520,9811,4.27728,3963,31.76244
home,10453,9605,4.18747,3759,30.12743
worker,10151,8512,3.71095,2931,23.49122
week,9769,9004,3.92545,3457,27.70698
patient,9540,8523,3.71575,2943,23.5874
u,9438,8445,3.68174,3461,27.73904
province,9147,8838,3.85308,3069,24.59726
public,9128,8575,3.73842,3168,25.39072
stay,8971,8225,3.58583,3399,27.24213
vaccination,8931,8378,3.65253,3375,27.04977
ford,8646,8095,3.52916,2268,18.17745
fordnation,8394,8231,3.58845,2230,17.87289
mask,8302,7123,3.1054,2957,23.69961
hospital,8282,7509,3.27368,2747,22.01651
would,8224,7456,3.25057,3059,24.51711
number,7939,7400,3.22616,3006,24.09233
know,7888,7382,3.21831,3165,25.36667
order,7685,7287,3.17689,3002,24.06027
canadian,7653,7027,3.06354,2697,21.61577
1,7620,6668,2.90703,2961,23.73167
work,7612,7031,3.06529,3208,25.71131
cdnpoli,7494,7480,3.26104,1974,15.82111
right,7492,7076,3.0849,2980,23.88395
still,7482,7024,3.06223,3169,25.39873
many,7428,6960,3.03433,2987,23.94005
care,7295,6623,2.88741,2828,22.6657
wave,7197,6535,2.84905,2551,20.44562
life,7195,6906,3.01079,2978,23.86792
vaccinated,7160,6721,2.93014,3026,24.25262
last,6989,6649,2.89875,2924,23.43512
going,6823,6431,2.80371,2951,23.65152
2,6723,6248,2.72392,2846,22.80997
essential,6565,5888,2.56698,2482,19.8926
make,6435,6208,2.70649,2878,23.06644
go,6426,6073,2.64763,2989,23.95608
bc,6384,5777,2.51858,1643,13.16823
even,6325,6089,2.6546,2789,22.35313
million,6274,5251,2.28926,2517,20.17312
toronto,6242,5872,2.56,2211,17.72061
first,6034,5832,2.54256,2891,23.17063
take,6024,5849,2.54997,2938,23.54733
alberta,5973,5566,2.42659,1583,12.68734
please,5957,5635,2.45668,2728,21.86423
virus,5940,5553,2.42093,2535,20.31738
april,5937,5562,2.42485,2572,20.61393
sick,5888,5204,2.26877,2158,17.29582
premier,5875,5543,2.41657,2096,16.79891
restriction,5824,5553,2.42093,2501,20.04488
news,5740,5463,2.38169,2623,21.02268
good,5729,5470,2.38474,2767,22.17681
see,5718,5509,2.40174,2750,22.04055
outbreak,5718,5294,2.30801,2186,17.52024
month,5624,5306,2.31324,2642,21.17496
thing,5614,5371,2.34158,2660,21.31923
country,5511,5251,2.28926,2493,19.98076
family,5447,5104,2.22518,2563,20.5418
another,5432,5175,2.25613,2623,21.02268
think,5377,5071,2.21079,2481,19.88459
could,5371,5088,2.2182,2468,19.7804
US,5354,4854,2.11619,2208,17.69656
