User ID	Screen Name	Number of Tweets	Number of Topics	Topics Discussed
2339733614	LaceyLaceyp	764	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2557859383	MEEKSVS	689	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
495066576	GadflyQuebec	674	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
43998427	Frazzling	669	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
273107148	teach_n_travel	657	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3091880673	StutterLoudly	642	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1172345379125260288	kathy19090674	604	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
16272844	johangreg	603	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
274369575	wavetop	579	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
714477321953140736	BregmanPs	564	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1105645631568150528	nlo_mph_mom_to3	562	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
18360735	suepeac	488	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
241640955	jmhamiltonblog	487	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1110728904	plasercalgary	486	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
919548186590621696	gail_sloane	480	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
704798725747531776	allan_crawshaw	469	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
513739938	chuddles11	468	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
977204844	MerlinofCanada	431	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4009632850	lmv6719	427	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1223950760	KSP_Libs	414	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
47402125	djsandwiches	410	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
19042993	Crof	401	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
49616509	StoneSculptorJN	400	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
897599384413765634	SouzaEluam	394	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
271989352	TorontoDDG	393	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3308894989	The_Gary_B	390	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
191092262	pairsonnalitesN	389	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2849064914	happyfinko	388	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
15677734	mig30m6	385	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3618354350	LndOntRetweets	374	9	1, 2, 3, 4, 5, 6, 7, 8, 9
828310819402313728	camy_cul	372	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2424007068	CodieneC	366	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
286499066	Tikisrose	351	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
791638976	lindahaslett	348	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1589383064	spiderzjay	348	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
824450408	JoanneCangal	348	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
525857359	GeoffyPJohnston	345	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
818660875259277313	DawsonMdhoust	341	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
386007819	MLGG2	335	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1032847520425107456	WalkinRobinL	335	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4292519659	smittycanada1	331	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1031691314536935424	BCWildfireWkly	328	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
214492262	nisobel	317	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
394245906	1loriking	314	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
245750555	mutalabala	312	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
385678932	bee2216	308	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1587277334	bobittyboop	306	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2558166399	forsyth_barb	305	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
254695129	grandma_hockey	305	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
807865098	DennisKendel	304	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
20917723	DonnaGillis	304	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
621164749	Debp197	303	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
15333188	Real_Dr_Roy	302	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
37552089	suestroud	300	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
19144321	CountryGardener	299	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
22920024	dezsmom	297	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
734844357216460800	AliceChiavi	296	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3375072193	jocelyne_jocey	295	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
12848262	TorontoStar	291	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1199151462745440256	FeysLeigh	286	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
635750362	BasuAshis	280	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
272626019	UniquelyGillian	279	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1185531782952816640	The12fthOfNever	279	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2915954031	rexglacer	279	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
34196648	DJDynamicNC	276	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
422773751	softgrasswalker	274	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1087134051914395648	BeverlyTymchuk	269	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2190688044	BorealJo	264	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1113969682367672320	GardenMama1959	264	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
208056970	PairsonnalitesU	262	9	1, 2, 3, 4, 6, 7, 8, 9, 10
222987791	deBeauxOs1	261	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2245822809	mini_bubbly	261	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
